ID,Score,Income,Mother_edu,Father_edu,Mother_Prof,Father_Prof,Type_1,Type_2,Students
350,523.5308989,2.033707865,3.963414634,4.329268293,2.9875,2.739726027,Public,State_City,348
351,494.7447917,1.234375,3.428571429,3.568181818,2.58974359,2.230769231,Public,State_City,249
352,531.4618644,2.275423729,4.12962963,4.406779661,2.872340426,2.807692308,Public,State_City,100
353,524.4625,1.925,3.684210526,4.05,2.72972973,2.289473684,Public,State_City,192
354,530.4828432,2.078431373,4.155555556,4.323232323,2.988888889,2.52173913,Public,State_City,469
355,595.6179245,3.622641509,4.653846154,5.150943396,3.276595745,2.9375,Public,State_City,160
356,550.7833333,2.075,3.259259259,4.275862069,2.6,2.615384615,Public,State_City,210
357,562.7916667,5.833333333,5,5.333333333,3.666666667,3.5,Private,Private,502
358,619.1819853,3.908088235,4.671641791,5.051851852,3.424,3.118110236,Public,Federal,492
359,604.7954546,4.977272727,5.047619048,5.666666667,3.714285714,3.523809524,Private,Private,452
360,572.6388889,4.166666667,4.875,5.111111111,3.625,3.222222222,Private,Private,371
361,595.8552632,5.276315789,4.941176471,4.833333333,3.722222222,3.5,Private,Private,418
362,586.7723214,6.147321429,5.226415094,5.148148148,3.849056604,3.346938776,Private,Private,1041
363,600.4464286,6.660714286,4.428571429,5.428571429,3.857142857,3.538461538,Private,Private,554
364,565.55,6.03125,5.230769231,4.846153846,3.58974359,3.421052632,Private,Private,489
365,557.6136364,6,4.727272727,4.818181818,3.272727273,3.2,Private,Private,270
366,546.2142857,4.428571429,4.166666667,4.857142857,3.5,3.8,Private,Private,217
367,547.1875,3.8671875,5,5.033333333,3.571428571,3.275862069,Private,Private,607
368,457.5,22.5,7,5,5,4,Private,Private,56
369,624.6515152,10.37878788,5.575757576,5.78125,4.0625,3.875,Private,Private,801
